File,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
bu,1995-01-07,116,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,43,21,0
bu,1995-01-08,472,1106,77,0,0,0,0,91,0,0,0,0,0,0,0,10,19,0,0,0,9,0,0,0
bu,1995-01-09,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,578,229,188,38,0,0,0,0,61
bu,1995-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,95,0,0,0,67,10,22,23
bu,1995-01-11,268,0,20,18,0,0,0,0,0,0,0,0,0,0,0,48,242,667,73,6,20,15,0,81
bu,1995-01-12,0,589,211,35,0,0,0,0,0,0,0,0,0,13,0,0,110,0,0,0,0,0,0,0
bu,1995-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
bu,1995-01-14,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0
bu,1995-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,21,38,3,0,0,4,205,2
bu,1995-01-17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,91,258,3189,807,3035,870,691,62,0
bu,1995-01-18,41,181,0,0,0,0,0,0,0,0,0,0,0,0,280,528,418,477,347,673,508,1598,395,0
bu,1995-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
bu,1995-01-25,141,231,40,0,0,0,0,0,0,0,0,0,0,5,1185,105,14,271,1309,1942,1271,2002,424,736
bu,1995-01-26,887,343,153,0,0,0,0,0,0,0,0,0,0,0,202,860,413,218,349,926,357,275,1110,5114
bu,1995-01-27,231,412,142,0,0,0,0,0,0,0,0,0,0,0,72,635,156,71,429,633,71,2154,0,0
bu,1995-01-28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,801,1623,570,33,884,0
bu,1995-01-29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,101,2017,774,504,16
bu,1995-01-30,364,0,0,0,0,0,0,0,0,0,11,0,0,19,598,1410,0,0,0,17,2162,7161,468,546
bu,1995-01-31,460,18,641,0,0,0,0,0,0,0,0,0,0,8,419,1102,691,1147,1088,1231,431,702,1153,837
bu,1995-02-01,658,221,160,0,0,0,0,0,0,0,0,0,0,0,691,1616,1346,1332,2013,2195,2367,270,1248,571
bu,1995-02-02,195,102,0,0,0,0,0,0,0,0,0,0,0,0,509,1300,799,933,1653,740,624,9910,1961,1514
bu,1995-02-03,2074,866,173,23,0,0,0,0,0,0,0,0,0,0,798,2202,2534,2797,2454,1879,2501,534,106,12
bu,1995-02-04,670,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,893,719,70,1052,118
bu,1995-02-05,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,57,434,319,806,1197,589
bu,1995-02-06,856,0,0,0,0,0,0,0,0,0,0,0,0,20,705,801,826,1872,478,1533,700,411,709,645
bu,1995-02-07,35,108,49,868,0,0,0,0,0,0,0,0,0,0,100,750,1236,1574,1664,1275,1194,2005,963,1149
bu,1995-02-08,50,352,1020,30,0,0,0,0,0,0,0,0,0,151,2199,1043,2673,2150,19037,3328,3368,3232,869,2046
bu,1995-02-09,672,201,2123,69,0,0,0,0,0,0,0,0,0,0,292,303,3258,3117,1501,3709,2990,3167,2977,2565
bu,1995-02-10,1448,2996,1359,0,0,0,0,0,0,0,0,0,0,0,911,1174,3201,3268,4184,2208,2199,1814,39,0
bu,1995-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1873,2063,1555,1134,797,3228
bu,1995-02-12,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,12245,11411,6951,4413,917,1704
bu,1995-02-13,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,606,5257,2200,3602,5698,4233,4159,4240,4618,9935
bu,1995-02-14,3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bu,1995-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,2412,5281,8613,5965,6232,9079,9029,9417,9938
bu,1995-02-16,10231,8405,5897,155,0,0,0,0,0,0,0,0,0,3,6274,1621,4533,1508,2376,2202,1184,215,828,1323
bu,1995-02-17,316,0,187,21,0,0,0,0,0,0,0,0,0,0,1469,741,2668,750,734,1473,2205,605,6,0
bu,1995-02-18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,60,46,35,166,1196,1304
bu,1995-02-19,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,133,43,340,724,1402,507
bu,1995-02-20,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
bu,1995-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1472,1190,1574,1008,5250,790,3099,791,128
bu,1995-02-22,1021,354,287,0,0,0,0,0,0,0,0,0,0,0,334,1830,435,349,818,930,825,982,631,426
bu,1995-02-23,794,412,459,0,0,0,0,0,0,0,0,0,0,0,71,124,1293,1650,1138,501,683,763,1400,1350
bu,1995-02-24,296,51,47,0,0,0,0,0,0,0,0,0,0,0,463,1035,876,965,895,176,550,355,0,0
