Date,Day,File,Cluster
1994-11-28,Monday,calgary,2
1994-11-29,Tuesday,calgary,0
1994-11-30,Wednesday,calgary,2
1994-12-01,Thursday,calgary,0
1994-12-02,Friday,calgary,2
1994-12-03,Saturday,calgary,0
1994-12-04,Sunday,calgary,1
1994-12-05,Monday,calgary,2
1994-12-06,Tuesday,calgary,2
1994-12-07,Wednesday,calgary,2
1994-12-08,Thursday,calgary,2
1994-12-09,Friday,calgary,2
1994-12-10,Saturday,calgary,1
1994-12-11,Sunday,calgary,1
1994-12-12,Monday,calgary,2
1994-12-13,Tuesday,calgary,2
1994-12-14,Wednesday,calgary,2
1994-12-15,Thursday,calgary,2
1994-12-16,Friday,calgary,2
1994-12-17,Saturday,calgary,2
1994-12-18,Sunday,calgary,2
1994-12-19,Monday,calgary,2
1994-12-20,Tuesday,calgary,2
1994-12-21,Wednesday,calgary,2
1994-12-22,Thursday,calgary,2
1994-12-23,Friday,calgary,1
1994-12-24,Saturday,calgary,2
1994-12-25,Sunday,calgary,2
1994-12-26,Monday,calgary,2
1994-12-27,Tuesday,calgary,2
1994-12-28,Wednesday,calgary,0
1994-12-29,Thursday,calgary,1
1994-12-30,Friday,calgary,2
1994-12-31,Saturday,calgary,0
1995-01-01,Sunday,calgary,1
1995-01-02,Monday,calgary,2
1995-01-03,Tuesday,calgary,2
1995-01-04,Wednesday,calgary,2
1995-01-05,Thursday,calgary,2
1995-01-06,Friday,calgary,2
1995-01-07,Saturday,calgary,1
1995-01-08,Sunday,calgary,1
1995-01-09,Monday,calgary,2
1995-01-10,Tuesday,calgary,2
1995-01-11,Wednesday,calgary,1
1995-01-12,Thursday,calgary,2
1995-01-13,Friday,calgary,2
1995-01-14,Saturday,calgary,2
1995-01-15,Sunday,calgary,2
1995-01-16,Monday,calgary,2
1995-01-17,Tuesday,calgary,2
1995-01-18,Wednesday,calgary,2
1995-01-19,Thursday,calgary,0
1995-01-20,Friday,calgary,2
1995-01-21,Saturday,calgary,2
1995-01-22,Sunday,calgary,0
1995-01-23,Monday,calgary,2
1995-01-24,Tuesday,calgary,0
1995-01-25,Wednesday,calgary,2
1995-01-26,Thursday,calgary,0
1995-01-27,Friday,calgary,2
1995-01-28,Saturday,calgary,2
1995-01-29,Sunday,calgary,2
1995-01-30,Monday,calgary,2
1995-01-31,Tuesday,calgary,0
1995-02-01,Wednesday,calgary,2
1995-02-02,Thursday,calgary,2
1995-02-03,Friday,calgary,2
1995-02-04,Saturday,calgary,1
1995-02-05,Sunday,calgary,1
1995-02-06,Monday,calgary,2
1995-02-07,Tuesday,calgary,0
