Cluster_1,Cluster_2,Cluster_3
-0.8636130360443954,0.5361529609758858,-0.7143195700166414
-0.9837742136282617,0.3779592100356646,-0.7972469693007597
-1.0137674279387385,0.27968163489207043,-0.8652817101241054
-1.0171499342838246,0.16976520748997403,-0.9051500223876064
-1.0414815515262916,0.08152794819426915,-0.9292333438983158
-1.0960177670687932,-0.023416882380065694,-0.9317764600478641
-1.1296527820429167,-0.14831047852812387,-0.9000319680620117
-1.10682670895457,-0.28051405365057314,-0.8141944381536864
-1.0394512053256548,-0.3942625549925487,-0.6309432433080215
-0.9468717593198755,-0.48306997520627515,-0.41126684106764927
-0.8397481581793556,-0.5411196421613093,-0.17654483696726878
-0.7163245607334643,-0.5746579597570353,0.03455524468550349
-0.5565284968305738,-0.5808947484442752,0.18381374871432235
-0.35087475103161925,-0.5562751653117308,0.3438336216260564
-0.11257530161807251,-0.48916392376177636,0.49312313692229715
0.11559056629828972,-0.36448950748078374,0.5875942814518512
0.2958013660925796,-0.22132853309496586,0.6437650784782294
0.4311514102917839,-0.08692197249357363,0.5920819889232173
0.5323827908712156,0.04440920943977704,0.4914088615188049
0.6214869222075193,0.14922318071030805,0.39613556263929867
0.7151231568489458,0.2328480125495628,0.31285276995466293
0.7820915843822306,0.3117170141543514,0.230087237493021
0.7573595306668225,0.38262940286559083,0.1382025443043043
0.6110425649387989,0.3998990975670692,0.037608840921677086
