Time,Projectviews
2023-01-01 00:00:00,20658708
2023-01-01 01:00:00,20648396
2023-01-01 02:00:00,18516096
2023-01-01 03:00:00,17076930
2023-01-01 04:00:00,16119334
2023-01-01 05:00:00,16002309
2023-01-01 06:00:00,15573754
2023-01-01 07:00:00,14991436
2023-01-01 08:00:00,15051019
2023-01-01 09:00:00,15773832
2023-01-01 10:00:00,17154834
2023-01-01 11:00:00,18804028
2023-01-01 12:00:00,19914954
2023-01-01 13:00:00,21449846
2023-01-01 14:00:00,23230559
2023-01-01 15:00:00,25067064
2023-01-01 16:00:00,26128775
2023-01-01 17:00:00,27104481
2023-01-01 18:00:00,27675390
2023-01-01 19:00:00,27777500
2023-01-01 20:00:00,28429050
2023-01-01 21:00:00,28535748
2023-01-01 22:00:00,27742317
2023-01-01 23:00:00,24884169
2023-01-02 00:00:00,22321249
2023-01-02 01:00:00,19832667
2023-01-02 02:00:00,19159474
2023-01-02 03:00:00,18897022
2023-01-02 04:00:00,18322796
2023-01-02 05:00:00,17597890
2023-01-02 06:00:00,17156905
2023-01-02 07:00:00,16915161
2023-01-02 08:00:00,17327470
2023-01-02 09:00:00,18496987
2023-01-02 10:00:00,19619404
2023-01-02 11:00:00,20793953
2023-01-02 12:00:00,21750209
2023-01-02 13:00:00,23443093
2023-01-02 14:00:00,25271615
2023-01-02 15:00:00,26603869
2023-01-02 16:00:00,27113630
2023-01-02 17:00:00,27445390
2023-01-02 18:00:00,27429384
2023-01-02 19:00:00,27047551
2023-01-02 20:00:00,28032153
2023-01-02 21:00:00,28250435
2023-01-02 22:00:00,27408231
2023-01-02 23:00:00,25294990
2023-01-03 00:00:00,21512619
2023-01-03 01:00:00,19679556
2023-01-03 02:00:00,19006798
2023-01-03 03:00:00,20027268
2023-01-03 04:00:00,19106397
2023-01-03 05:00:00,17798461
2023-01-03 06:00:00,17173689
2023-01-03 07:00:00,17172246
2023-01-03 08:00:00,17690344
2023-01-03 09:00:00,18597779
2023-01-03 10:00:00,19512805
2023-01-03 11:00:00,20721149
2023-01-03 12:00:00,22036438
2023-01-03 13:00:00,23542016
2023-01-03 14:00:00,25188144
2023-01-03 15:00:00,25868137
2023-01-03 16:00:00,25988624
2023-01-03 17:00:00,26083174
2023-01-03 18:00:00,25838255
2023-01-03 19:00:00,26224718
2023-01-03 20:00:00,26945192
2023-01-03 21:00:00,27569758
2023-01-03 22:00:00,26471357
2023-01-03 23:00:00,24011250
2023-01-04 00:00:00,20550474
2023-01-04 01:00:00,18541858
2023-01-04 02:00:00,17985959
2023-01-04 03:00:00,17855924
2023-01-04 04:00:00,17663985
2023-01-04 05:00:00,16961046
2023-01-04 06:00:00,16538849
2023-01-04 07:00:00,16894622
2023-01-04 08:00:00,17684812
2023-01-04 09:00:00,18551613
2023-01-04 10:00:00,19566967
2023-01-04 11:00:00,20762304
